ID_Karyawan,Nama_Lengkap,Profesi,Perusahaan,Provinsi
f89333cc,Cinta Kuswoyo,Occupational psychologist,CV Hutasoit Tbk,Gorontalo
1aaaa448,KH. Balidin Utami,Airline pilot,CV Nuraini,Sulawesi Utara
13bcabf7,"drg. Faizah Firmansyah, M.TI.",Catering manager,PT Halim Kurniawan (Persero) Tbk,Jambi
70416110,Cawisadi Maryati,Multimedia specialist,PD Saefullah Pradana,Banten
82087c41,Vicky Prastuti,Lexicographer,PT Sudiati,Sumatera Barat
7a039162,Lala Wibowo,"Investment banker, corporate",CV Nugroho Pertiwi,Riau
591d95ae,Dodo Uyainah,"Therapist, music",CV Hastuti Pranowo,Jambi
f78d6beb,Ida Susanti,Logistics and distribution manager,PD Pangestu Kurniawan (Persero) Tbk,Sulawesi Utara
56ea4cd1,"Teguh Nababan, S.Kom",Ergonomist,UD Napitupulu,Kalimantan Selatan
8f9c40e6,R.A. Sakura Saputra,"Producer, radio",UD Permata Tbk,Gorontalo
03d68179,"Puput Mulyani, S.H.",Early years teacher,PD Thamrin Saefullah,Papua
bc4ea5d0,"R. Jaswadi Ardianto, S.Ked",Production manager,CV Hakim,Sumatera Barat
9d9852f7,"R.A. Paris Iswahyudi, S.Pt",Data scientist,Perum Rajata,Bengkulu
028b5f48,Endah Melani,Lobbyist,PT Damanik,Sulawesi Tenggara
681a3b58,Zizi Gunarto,Architectural technologist,Perum Mardhiyah Anggraini,Bengkulu
3f0c3036,H. Hardi Wacana,Clinical molecular geneticist,CV Sihombing Tbk,Aceh
00f0c78a,dr. Ophelia Dongoran,Heritage manager,Perum Tarihoran,Jambi
743a02a4,Harjaya Uwais,"Investment banker, corporate",PD Prasasta,Bali
e3cad19a,Soleh Nuraini,Agricultural consultant,PD Sinaga (Persero) Tbk,Sumatera Utara
d7126a3a,Kayla Haryanto,Restaurant manager,UD Natsir Tbk,Bengkulu
f0ae2858,"Puput Putra, S.Sos","Surveyor, hydrographic",UD Usada,DI Yogyakarta
355df223,R. Wani Latupono,Industrial buyer,PD Halimah Laksmiwati,Kalimantan Tengah
c38fb73d,"Viktor Wahyudin, M.Pd",Clinical research associate,Perum Prastuti Hasanah Tbk,Sulawesi Barat
9c4a539d,Garang Iswahyudi,Marketing executive,CV Narpati,Sumatera Selatan
9c5d53a9,R.A. Agnes Safitri,"Psychologist, prison and probation services",UD Andriani,Nusa Tenggara Barat
8521130a,"Yusuf Aryani, M.Ak",Financial adviser,Perum Zulaika Maryadi,DI Yogyakarta
a1411a88,Talia Nurdiyanti,Marine scientist,PD Marpaung,Kalimantan Utara
0c150995,Bakda Santoso,Agricultural consultant,UD Salahudin Tbk,Jawa Tengah
db6181c0,Salsabila Kuswoyo,Sales promotion account executive,Perum Budiyanto Hutasoit Tbk,Kalimantan Utara
af275222,Dr. Calista Safitri,Ship broker,PD Mardhiyah Yuniar,Kalimantan Barat
98325e1d,dr. Mahfud Kusmawati,Facilities manager,PD Hariyah Napitupulu,Sulawesi Barat
c8447f6f,"Sutan Rendy Nainggolan, S.Farm",Set designer,PT Sirait Yuliarti,Sulawesi Tenggara
c2fff44d,"dr. Gamanto Dabukke, S.Kom",Environmental health practitioner,Perum Thamrin Simbolon (Persero) Tbk,Lampung
a918586d,Ganjaran Hasanah,Health visitor,PT Wibowo Dongoran,Banten
6b0791cb,"Nrima Rahimah, M.Kom.",Armed forces technical officer,PD Pangestu Laksmiwati,Aceh
9e94bbdf,"Sarah Samosir, S.T.","Restaurant manager, fast food",CV Saragih Firmansyah (Persero) Tbk,Kalimantan Barat
9fdd2e1b,Cemani Nasyiah,Bookseller,PT Wibisono Tbk,Aceh
