ID_Karyawan,Nama_Lengkap,Profesi,Perusahaan,Provinsi
9020c826,"Sabrina Kusumo, S.Kom","Programmer, applications",PD Astuti,Jawa Timur
b0030a2c,Ir. Galih Damanik,Psychiatric nurse,UD Irawan Maryadi,Kepulauan Bangka Belitung
a07c5d8a,Tgk. Lala Kuswandari,Probation officer,PD Halimah Andriani Tbk,Lampung
4e394f1e,"Kani Hakim, S.Pt",Music tutor,CV Permadi Situmorang,Papua Barat
0b4cdeca,"Dt. Estiawan Lestari, M.Pd",Hydrogeologist,CV Firmansyah Tbk,Kepulauan Riau
0ab1b43d,Ir. Purwadi Najmudin,Games developer,Perum Rahayu (Persero) Tbk,Papua
d44af9a6,Karsa Agustina,Diplomatic Services operational officer,PD Pradipta Tbk,Kepulauan Bangka Belitung
20d2f9b9,Fitriani Budiyanto,Systems analyst,Perum Jailani Usamah (Persero) Tbk,Papua Barat
b5bff79e,"Jasmin Manullang, S.H.",Marketing executive,CV Maheswara (Persero) Tbk,Kepulauan Bangka Belitung
ecdb8cfd,Ir. Drajat Suryatmi,Catering manager,CV Prastuti (Persero) Tbk,Kalimantan Utara
0c96d9f6,"Wira Haryanto, M.Kom.",Mudlogger,UD Kurniawan Saefullah,Kalimantan Barat
72a90488,Surya Nashiruddin,Chief Executive Officer,PT Maulana Saefullah,Bengkulu
b78fd10c,Iriana Hardiansyah,Local government officer,UD Uwais Utama,Bali
c444d796,Keisha Zulaika,Retail banker,UD Hasanah Hartati (Persero) Tbk,Banten
aa2e6dc4,Lantar Nuraini,"Education officer, environmental",PT Simanjuntak Tbk,Kepulauan Bangka Belitung
7b5596da,"dr. Gandi Prakasa, S.H.","Accountant, chartered management",UD Palastri Sitompul,Kalimantan Selatan
6394d6a2,Edison Utami,Psychiatric nurse,PT Samosir (Persero) Tbk,Banten
f23794c5,Ir. Farhunnisa Novitasari,Emergency planning/management officer,Perum Pranowo Sirait,Jawa Tengah
2e72ef62,R. Michelle Suwarno,"Engineer, mining",UD Najmudin Purnawati (Persero) Tbk,Kalimantan Selatan
d6f4c8db,"Waluyo Thamrin, M.Kom.",Horticultural consultant,PT Firgantoro Tbk,Sumatera Selatan
41857f6e,Hani Permadi,Ecologist,UD Maryati (Persero) Tbk,Maluku Utara
8ddfe281,Kardi Permata,Chartered loss adjuster,UD Santoso Kusumo (Persero) Tbk,Kalimantan Timur
4660ba90,Zaenab Astuti,"Engineer, civil (consulting)",PD Maulana Halim (Persero) Tbk,Kalimantan Utara
d4a0ae19,Yessi Gunarto,Radio producer,PD Prakasa Tbk,Papua
21ffca7b,"R. Gading Namaga, S.E.I","Engineer, petroleum",Perum Sinaga Prastuti,Sulawesi Tengah
79b9c04a,"Hj. Raisa Wahyuni, M.Ak",Fast food restaurant manager,PD Nasyiah (Persero) Tbk,Papua
fe04ecf9,H. Upik Hidayat,Fitness centre manager,PT Maryati Uyainah (Persero) Tbk,Papua
92ee59ae,"Ir. Laila Sihombing, S.T.","Engineer, maintenance",Perum Nasyidah Januar Tbk,Sulawesi Selatan
0f833314,Cahyo Santoso,Dispensing optician,PT Latupono,Gorontalo
cb5b5697,Cakrabirawa Hartati,"Producer, radio",PT Setiawan Irawan,Aceh
f73cf6ce,"Gantar Purnawati, S.I.Kom","Surveyor, building control",UD Hardiansyah Laksita,Bengkulu
bc292f72,Leo Tarihoran,Chemical engineer,CV Tarihoran,Sumatera Utara
1835217d,dr. Tri Puspasari,Sports development officer,Perum Kuswoyo Tbk,Nusa Tenggara Timur
211880bd,"Galak Dabukke, S.T.",Telecommunications researcher,PD Hutapea Prastuti (Persero) Tbk,Kepulauan Bangka Belitung
93fa99b7,Cornelia Setiawan,Air broker,Perum Kusumo (Persero) Tbk,DI Yogyakarta
20f9b8ae,Hani Kurniawan,Press sub,PT Saefullah Wacana (Persero) Tbk,Sumatera Selatan
0dac23bd,Baktiadi Hastuti,"Surveyor, mining",PT Pratiwi Rahmawati Tbk,Kalimantan Timur
792ad7bf,Natalia Hassanah,Ceramics designer,PT Yulianti,DKI Jakarta
36f1ebf8,Samiah Prastuti,Charity fundraiser,UD Kuswoyo Tbk,DKI Jakarta
d44f2f01,Ellis Wibisono,Fashion designer,PT Mandasari,Sulawesi Selatan
64a7646c,Puti Elisa Najmudin,Retail merchandiser,UD Dongoran (Persero) Tbk,Sulawesi Utara
2d6297cb,Ratih Thamrin,Hydrologist,UD Iswahyudi Hutapea,Kalimantan Timur
9600621b,Cut Yuliana Sihombing,Hydrogeologist,PT Hakim Mahendra (Persero) Tbk,Sulawesi Utara
f7b5804c,Cagak Samosir,Field trials officer,PT Mayasari Uyainah (Persero) Tbk,Sulawesi Tengah
1d9f28f8,"Cut Sarah Pranowo, M.Ak",Financial adviser,PD Damanik,Kalimantan Selatan
22650a84,Ulya Suryono,Special effects artist,Perum Puspasari Tbk,Sumatera Barat
5b489bd9,Tgk. Sarah Halimah,Equities trader,PT Gunarto,Nusa Tenggara Barat
794e94b5,"Viktor Pradana, S.Pd",Archaeologist,PT Iswahyudi (Persero) Tbk,Gorontalo
9ee807be,Hj. Dalima Wasita,Musician,PT Yulianti Tbk,Gorontalo
289f4754,Raina Suryono,Proofreader,CV Mansur Sitompul,Kalimantan Barat
07f31c25,Ir. Margana Nainggolan,Financial risk analyst,UD Megantara (Persero) Tbk,Kalimantan Barat
120bcde1,"Jabal Rajasa, M.Kom.","Designer, exhibition/display",PT Nashiruddin Napitupulu,Bali
9c6a1292,Digdaya Pratiwi,Market researcher,UD Suartini Prayoga,DI Yogyakarta
a7d84c48,Ika Haryanto,Financial adviser,Perum Januar Nasyidah,Bali
7f24225b,Wadi Maryati,"Conservator, furniture",UD Simanjuntak Damanik Tbk,Kalimantan Tengah
045f1270,"Prabu Halimah, S.E.","Conservator, furniture",UD Setiawan (Persero) Tbk,Papua
4becef9d,Jamil Marpaung,Broadcast engineer,CV Rahayu Tbk,Kalimantan Selatan
b3d7eec6,Lidya Astuti,Art therapist,Perum Sirait,Jawa Barat
951ca46b,Farhunnisa Marbun,"Surveyor, mining",Perum Januar Sirait (Persero) Tbk,Kalimantan Utara
bc14e389,Darijan Laksmiwati,"Psychotherapist, dance movement",CV Sitorus Purnawati Tbk,Aceh
d014c4a3,Upik Permadi,Press photographer,PT Napitupulu Tbk,Kalimantan Utara
2e23bb07,Ir. Usyi Prastuti,"Physicist, medical",CV Jailani Tbk,Sulawesi Utara
bcf3bc7d,Lili Pudjiastuti,Occupational psychologist,Perum Wijayanti Tbk,Kalimantan Barat
2c7e73a8,Titi Hasanah,Social researcher,CV Wacana Iswahyudi Tbk,Maluku Utara
535a9137,Gadang Prastuti,Museum/gallery conservator,CV Oktaviani (Persero) Tbk,Bengkulu
68648f91,Kunthara Yulianti,Archivist,PD Hartati Purwanti Tbk,Sulawesi Utara
3dc927d5,Gawati Utama,"Research officer, political party",Perum Saragih Yuniar,Aceh
cbdf5f8a,Lantar Usada,Agricultural consultant,Perum Usamah Narpati,Kalimantan Tengah
72e3ceea,Eko Prabowo,"Psychologist, educational",PT Safitri (Persero) Tbk,Kepulauan Bangka Belitung
8fddd97a,Ajeng Prasetyo,Applications developer,UD Pratiwi Anggriawan (Persero) Tbk,Kalimantan Selatan
2222a133,Qori Marpaung,Geophysicist/field seismologist,UD Uyainah Simbolon (Persero) Tbk,Maluku
0fc1c3bc,Luwes Jailani,"Accountant, chartered management",Perum Laksita Waluyo (Persero) Tbk,Maluku
44093c5c,Rahman Sitorus,"Engineer, mining",CV Hidayanto Agustina,Aceh
39474d0f,Ifa Hariyah,"Scientist, physiological",Perum Suryono Tbk,Sumatera Selatan
d89d232e,Lidya Andriani,Bonds trader,PD Sihotang Mardhiyah,Bali
aa295c33,Erik Latupono,"Runner, broadcasting/film/video",CV Mandala Tbk,DI Yogyakarta
198be608,Budi Haryanti,"Scientist, physiological",UD Fujiati,Kepulauan Bangka Belitung
b1717643,Nabila Wastuti,Broadcast journalist,PT Namaga Tbk,Kalimantan Timur
b98f35ce,"Anita Ardianto, S.Pt",Legal executive,UD Yuniar Lestari,Papua
0afcd153,"Ade Hastuti, M.Ak",Futures trader,UD Oktaviani Manullang (Persero) Tbk,Kalimantan Utara
8bbbf755,Laswi Anggriawan,Banker,CV Suwarno Widiastuti Tbk,Sulawesi Tengah
7a5fa71b,Kamal Napitupulu,Civil Service administrator,UD Pudjiastuti Hidayat Tbk,Jawa Tengah
e4cb7c4d,"Rafid Nuraini, S.E.I",Ceramics designer,UD Dabukke,Jambi
fbb68d46,"T. Putu Andriani, S.Gz",Psychotherapist,UD Haryanti Melani,Sulawesi Tengah
ad8c7e43,"Hj. Elvina Nababan, S.E.I",Marketing executive,CV Tamba,Jawa Timur
f210ef5c,Pranawa Hariyah,"Engineer, site",Perum Saputra (Persero) Tbk,Jawa Barat
10b13b8b,Hasim Handayani,Medical technical officer,UD Firmansyah Wasita (Persero) Tbk,Sumatera Utara
f49ea75c,Tirtayasa Mayasari,Comptroller,Perum Mulyani Tbk,Kalimantan Utara
8b79a092,Mulyono Thamrin,Research scientist (maths),Perum Puspasari Pudjiastuti (Persero) Tbk,Aceh
fd295007,Gabriella Riyanti,Emergency planning/management officer,PT Saputra Tbk,Sulawesi Barat
5e65270c,Prakosa Marbun,Chief Technology Officer,UD Winarsih Hastuti,Sulawesi Barat
9a5d5878,"Among Permadi, M.TI.","Lecturer, further education",Perum Sitompul,Papua
baf18b33,"Dt. Dadap Marpaung, S.Psi",Paediatric nurse,Perum Wahyuni Tbk,Sulawesi Tengah
9d68eabe,Drs. Jarwa Melani,Estate manager/land agent,Perum Januar Hidayanto (Persero) Tbk,Nusa Tenggara Barat
c95b99ca,Zelda Salahudin,"Scientist, audiological",Perum Salahudin (Persero) Tbk,Kalimantan Selatan
0537d30d,"Natalia Nasyidah, S.Kom","Engineer, chemical",CV Hidayat (Persero) Tbk,Kepulauan Riau
ef1cfb8e,"Yani Anggraini, S.Gz","Teacher, secondary school",CV Anggriawan Kusumo Tbk,Kalimantan Timur
d3bf1647,Drs. Samiah Yolanda,"Conservation officer, historic buildings",CV Zulaika,Sumatera Selatan
419bc1f0,"Ophelia Hidayanto, S.T.",Production manager,PD Laksmiwati Susanti Tbk,DKI Jakarta
06a473aa,"R.M. Jamil Gunarto, S.Sos","Designer, interior/spatial",PD Prayoga,Kalimantan Timur
d3a6a090,Kasiran Permadi,"Designer, furniture",PD Nainggolan Permata (Persero) Tbk,Sumatera Utara
3afa5c0d,Cemani Mulyani,"Biochemist, clinical",CV Wibowo,Riau
f62089d0,Wawan Situmorang,Sport and exercise psychologist,PD Sihombing,Sulawesi Tengah
8e20b5e1,Parman Hardiansyah,Solicitor,PD Hutasoit Hardiansyah,Jawa Timur
b5d3fe6b,"Amelia Megantara, S.H.",Network engineer,Perum Thamrin,Kalimantan Selatan
60c7596c,Aswani Nababan,Printmaker,CV Pradipta Sudiati (Persero) Tbk,DKI Jakarta
77d16c8b,Mulyanto Lestari,"Psychologist, educational",CV Fujiati,Kalimantan Barat
fc074692,"Farhunnisa Prastuti, S.H.",Curator,PD Irawan (Persero) Tbk,Sumatera Utara
8335de00,Galih Prastuti,"Scientist, research (maths)",CV Novitasari Astuti,DI Yogyakarta
f7ac2ac3,Laras Rajasa,Marketing executive,Perum Hartati Maryadi,Sulawesi Utara
bebd6819,"Hardana Firgantoro, S.Psi","Surveyor, hydrographic",PT Mangunsong,Bengkulu
c30ba918,"Rahmi Gunarto, M.Pd",Consulting civil engineer,CV Agustina Yuniar (Persero) Tbk,Gorontalo
eafb8784,"R. Balamantri Marpaung, M.Ak",Geographical information systems officer,CV Mustofa Mulyani,Kepulauan Riau
83f8f00c,Puput Usada,Gaffer,PT Pudjiastuti Nuraini,Lampung
db7e2cfc,Devi Hardiansyah,Lobbyist,PT Rajasa Tbk,Sulawesi Barat
24aff0a3,"Puti Gawati Ardianto, M.Kom.","Designer, graphic",PT Santoso Anggriawan,Maluku Utara
70e5bd5b,Titi Hutasoit,Social worker,PD Suryono Tbk,Sulawesi Utara
1bc9e413,Sidiq Sihombing,Site engineer,PD Wasita,Lampung
51ddb3c1,Dr. Icha Wastuti,Chartered accountant,Perum Nasyiah Hutasoit,Kepulauan Riau
9d6b21a4,"Raihan Pratiwi, S.Sos",Medical technical officer,PT Sirait (Persero) Tbk,Sulawesi Tengah
c395b0fe,Kayla Ardianto,Energy manager,Perum Palastri,Maluku
f62afc2b,"R. Alika Usada, S.E.","Accountant, chartered management",PD Nainggolan,Kalimantan Timur
9d3d79f1,KH. Balijan Mandala,Newspaper journalist,UD Sihotang Tbk,Lampung
027c9bf9,Eka Permadi,Learning disability nurse,CV Pangestu Pertiwi Tbk,Kalimantan Tengah
cd738627,Ir. Dewi Thamrin,Translator,Perum Tamba,Kepulauan Riau
427f76c5,Vanya Winarno,Warehouse manager,PT Jailani Sitompul Tbk,DI Yogyakarta
95a438d5,Agnes Kuswandari,Camera operator,PD Kuswandari (Persero) Tbk,Maluku Utara
f5773f55,Almira Mustofa,Music tutor,Perum Irawan Rahayu (Persero) Tbk,Maluku Utara
6c216bce,H. Niyaga Anggriawan,Psychiatrist,Perum Ramadan Tbk,Maluku Utara
d8e8957e,Genta Sihotang,Fast food restaurant manager,PD Narpati (Persero) Tbk,Jambi
2777caf9,"Vanesa Napitupulu, S.Kom",Architect,CV Zulkarnain Maulana,Lampung
f7d581f7,Usman Hidayanto,Aeronautical engineer,CV Pratama Hastuti,Sulawesi Tenggara
5e085ed5,"Darsirah Melani, M.M.",Building control surveyor,CV Ardianto Dabukke Tbk,Nusa Tenggara Barat
b7ec41f0,"Tgk. Betania Rajata, S.IP","Surveyor, planning and development",PD Utami,Nusa Tenggara Barat
effbe9b1,Danu Sitompul,Writer,CV Pratiwi Andriani,Maluku
391a1910,"Ir. Humaira Yuliarti, S.Kom",Diagnostic radiographer,PT Haryanto,DKI Jakarta
4359d69c,Asmadi Astuti,Dramatherapist,UD Yuliarti Lazuardi,Kepulauan Riau
9c8ce251,Puti Kartika Wacana,Agricultural consultant,Perum Gunawan Tbk,Banten
b89f93d6,"Dr. Vanya Gunawan, S.Pd","Engineer, chemical",PT Wahyuni Farida,Bengkulu
ff42e57e,"Argono Susanti, S.Ked",Airline pilot,CV Megantara Sihombing,Sumatera Selatan
5624291c,Elvina Damanik,Medical illustrator,PT Adriansyah,Kalimantan Utara
4954711f,Bagas Laksita,Research scientist (medical),PT Firmansyah,Kepulauan Bangka Belitung
07532337,Mahmud Kusumo,Phytotherapist,UD Rahmawati,Bengkulu
96ce3186,Nurul Ardianto,Fitness centre manager,CV Rajasa,Sumatera Selatan
1a558b10,Estiawan Pranowo,Air cabin crew,PD Mayasari Lestari,Kepulauan Bangka Belitung
8a1e430e,"R.M. Rafid Firmansyah, M.Ak",Operations geologist,UD Rajasa (Persero) Tbk,Maluku Utara
842ee20e,Nurul Hariyah,"Runner, broadcasting/film/video",UD Rahimah,Aceh
43d86e5e,Himawan Puspasari,Associate Professor,Perum Mustofa (Persero) Tbk,Gorontalo
15f641e4,Omar Prayoga,Structural engineer,CV Purwanti Waskita,Nusa Tenggara Timur
35dd8398,KH. Embuh Waskita,"Administrator, charities/voluntary organisations",CV Aryani Zulaika Tbk,Sulawesi Tenggara
c9c8f8a0,Margana Ardianto,Interior and spatial designer,PT Nainggolan Puspita (Persero) Tbk,Maluku Utara
975be812,"Nurul Sihombing, M.TI.",Holiday representative,PT Budiman Tbk,Kalimantan Barat
2518862b,Salwa Usada,Community pharmacist,CV Pratama (Persero) Tbk,Nusa Tenggara Timur
dfb88342,Jayadi Prasasta,Health visitor,UD Damanik,Kalimantan Selatan
1d455437,Hana Laksita,Broadcast engineer,PT Sirait Pangestu (Persero) Tbk,Maluku
6aefe879,Zizi Halim,"Engineer, materials",PT Saefullah Nugroho Tbk,Papua Barat
4a0c7b43,drg. Kayun Widodo,Chief Financial Officer,Perum Waluyo Purwanti,Papua
e89c358a,"Jono Natsir, S.Farm","Editor, film/video",UD Widodo Padmasari (Persero) Tbk,Gorontalo
6a44521b,Jamalia Situmorang,Private music teacher,UD Utama,Papua Barat
9069596e,"Icha Uyainah, M.Ak",Community arts worker,UD Santoso Waskita (Persero) Tbk,Jawa Barat
5fad85aa,Kenzie Pradana,Museum/gallery exhibitions officer,Perum Ardianto (Persero) Tbk,Bengkulu
06d5a526,Restu Salahudin,Quantity surveyor,Perum Nurdiyanti Maheswara Tbk,Kepulauan Bangka Belitung
1bbcec2e,Indah Hariyah,Youth worker,Perum Wibisono (Persero) Tbk,Sumatera Selatan
d7c7e206,Tantri Sitompul,"Surveyor, quantity",Perum Sitompul Najmudin,Kalimantan Barat
5083d070,Usyi Pradana,Human resources officer,Perum Mulyani,Kalimantan Barat
8f9dde30,"Ghani Lestari, S.E.I",Sports therapist,PT Hutapea Tbk,Sumatera Barat
98c5c018,Sutan Olga Hakim,Wellsite geologist,CV Nugroho Tbk,Kepulauan Bangka Belitung
0713f1ff,Yance Wahyudin,Conference centre manager,PD Mandasari Tampubolon (Persero) Tbk,Sulawesi Tengah
b3a8c653,"Queen Suryono, M.Pd","Scientist, biomedical",PD Astuti Suryono (Persero) Tbk,Sulawesi Barat
924e9eb4,R.A. Uli Prastuti,Civil Service fast streamer,Perum Anggriawan (Persero) Tbk,Nusa Tenggara Timur
dd56850f,"Keisha Lailasari, M.Ak","Scientist, marine",Perum Marbun Wacana (Persero) Tbk,Banten
41747a46,Taufan Yuniar,Adult nurse,PT Mardhiyah Halimah (Persero) Tbk,Sulawesi Barat
419877dc,Cahyanto Mandasari,Clinical psychologist,CV Gunarto Saptono Tbk,Maluku Utara
bc58845c,Kasim Lailasari,Academic librarian,UD Rahmawati,Jawa Tengah
d2d0ddd3,Yance Budiman,Warden/ranger,CV Pangestu Haryanti,Kepulauan Bangka Belitung
