ID_Karyawan,Nama_Lengkap,Profesi,Perusahaan,Provinsi
9e7d2195,Calista Lailasari,"Accountant, chartered public finance",PD Damanik Hakim Tbk,Riau
cd750aba,T. Narji Mardhiyah,Purchasing manager,CV Namaga Susanti Tbk,Sulawesi Tenggara
07dee791,Kadir Manullang,Therapeutic radiographer,PT Suryono Maulana,Sumatera Selatan
e554320f,"R. Nrima Pradipta, M.Pd",Psychiatrist,PD Sitompul Tbk,Kepulauan Bangka Belitung
335dc46e,Ellis Lailasari,"Designer, fashion/clothing",CV Megantara (Persero) Tbk,Gorontalo
6f38265b,Vicky Wacana,"Buyer, retail",PT Hartati Tbk,Aceh
7c9f1289,"R. Jelita Kurniawan, S.H.",Armed forces operational officer,UD Gunawan Tbk,Maluku Utara
598bb51b,Mahmud Maryati,Freight forwarder,PT Sudiati Tbk,Sulawesi Tenggara
a154565d,Hartaka Hutapea,Physiological scientist,PD Safitri Tbk,Maluku
2f316eed,Pranata Kurniawan,"Copywriter, advertising",PD Haryanto,Bengkulu
aa45b752,"Paulin Saptono, S.Psi",Land,CV Yuliarti Firmansyah,Papua
c041f1a5,Leo Thamrin,Trade union research officer,PT Putra Ramadan Tbk,Papua
d703048a,Banawa Siregar,"Designer, television/film set",UD Purwanti Wijayanti (Persero) Tbk,Kalimantan Barat
17fa9288,"Dr. Kania Hutasoit, S.E.",Health and safety adviser,PD Usada Mansur (Persero) Tbk,DKI Jakarta
fcdf93d2,Melinda Marbun,Paediatric nurse,Perum Lailasari (Persero) Tbk,Bengkulu
78a9468b,"Dalima Uwais, S.Pt","Engineer, electronics",CV Najmudin,Bali
293efc35,Praba Anggraini,Insurance risk surveyor,PT Astuti,Sulawesi Tengah
5f5440ad,Garda Yulianti,Archivist,Perum Wibowo Zulkarnain (Persero) Tbk,DI Yogyakarta
1d0b5e75,Abyasa Budiman,Production manager,PD Hariyah Prastuti,Sulawesi Tenggara
e37912b2,Embuh Yulianti,"Horticulturist, amenity",Perum Pranowo (Persero) Tbk,Sulawesi Tengah
6a1e71cf,"Cakrawala Haryanti, S.IP",Careers information officer,CV Putra,Kalimantan Tengah
6adcdc59,"dr. Elvina Aryani, S.E.I","Optician, dispensing",UD Prakasa Hariyah Tbk,DKI Jakarta
ec9e04ad,Luis Firgantoro,Exhibition designer,CV Handayani (Persero) Tbk,Maluku Utara
