ID_Karyawan,Nama_Lengkap,Profesi,Perusahaan,Provinsi
b893a90f,Anggabaya Nashiruddin,Armed forces technical officer,PD Farida Tbk,Jawa Barat
defd8691,Cut Rina Fujiati,Marine scientist,PD Lailasari Tbk,Sulawesi Selatan
53cefeef,Aswani Namaga,Retail buyer,UD Uyainah Simanjuntak (Persero) Tbk,Jawa Tengah
6f5af5f4,"Drs. Daruna Iswahyudi, M.Farm",Tree surgeon,PD Winarno Tbk,Sumatera Selatan
7209d895,Lantar Yulianti,"Education officer, museum",UD Rahimah,Papua Barat
baa54fe6,Dian Waskita,Operational researcher,UD Nurdiyanti Tbk,Jawa Timur
b77a77b4,Yoga Fujiati,Research scientist (life sciences),Perum Rahimah Rahimah,Aceh
1800fbd0,Unggul Halimah,Air traffic controller,Perum Putra Ramadan Tbk,Kalimantan Timur
de76a714,Cut Usyi Pratiwi,"Research officer, government",UD Saptono (Persero) Tbk,Kalimantan Barat
6ed01596,Gina Farida,"Surveyor, commercial/residential",Perum Manullang,Lampung
6af8c16c,Gawati Hutasoit,Recruitment consultant,Perum Susanti Waluyo,DKI Jakarta
5868e0b9,Marsito Maryati,"Designer, blown glass/stained glass",CV Hakim,Jawa Timur
a4ca4433,"Puti Uyainah, S.T.","Horticulturist, amenity",Perum Kusmawati Mandasari,Papua Barat
33af3bbc,"Sutan Kacung Purwanti, S.Gz",Chartered public finance accountant,PT Prayoga Mandasari Tbk,Riau
5c087247,Ir. Karen Napitupulu,"Librarian, academic",UD Prayoga,DKI Jakarta
24d21364,Gangsa Novitasari,Quantity surveyor,Perum Tamba,Nusa Tenggara Timur
850ee15c,Yani Sudiati,Advertising account executive,Perum Melani (Persero) Tbk,Jawa Tengah
10bf1111,"Dr. Farhunnisa Samosir, S.Kom","Engineer, structural",PT Laksmiwati (Persero) Tbk,Kalimantan Selatan
e72da7d7,Qori Wastuti,Pharmacologist,UD Prasetyo Tbk,Bali
3eb5d17c,Oni Oktaviani,Ergonomist,Perum Utami,Kepulauan Riau
f0d9efca,"Gamanto Hidayanto, S.Sos",Optometrist,PD Wacana,Sulawesi Utara
e215e00b,R. Anom Maryati,Educational psychologist,Perum Hakim Hardiansyah,Papua
ba2fb81e,Lantar Napitupulu,Visual merchandiser,PT Widodo,Banten
77fca85c,Ir. Sabrina Ardianto,"Chemist, analytical",UD Hidayat Nainggolan,Papua Barat
c2cfb47d,"Fathonah Damanik, S.Farm",Chief Marketing Officer,PD Tarihoran Palastri,Aceh
6f173643,Margana Prayoga,Paramedic,CV Kusumo Pertiwi (Persero) Tbk,Kalimantan Selatan
fc347bd6,"Timbul Pradipta, S.Sos",Hospital doctor,Perum Natsir Tbk,Jawa Barat
32c4802f,"Dr. Jail Maulana, S.Gz","Administrator, education",PD Uyainah Natsir Tbk,Papua
74a06530,Nadine Salahudin,Clinical psychologist,Perum Agustina Suryono,Maluku
938a0ed4,Dipa Hidayanto,Communications engineer,UD Januar Jailani,Kalimantan Selatan
bca00e05,Zulfa Agustina,"Scientist, audiological",PT Usada,Sulawesi Utara
8699f092,Sabrina Putra,Barista,PD Waluyo Padmasari Tbk,Riau
070b8fab,"Mustika Kusumo, M.TI.",Commercial/residential surveyor,PT Dabukke,Kalimantan Utara
455c2229,Kenes Laksmiwati,Television floor manager,Perum Pudjiastuti Nasyidah (Persero) Tbk,Maluku Utara
0fd9e822,"Dr. Uda Hutasoit, M.TI.",Equities trader,PT Prasasta Permata Tbk,Nusa Tenggara Timur
695d3898,Gading Pranowo,Armed forces logistics/support/administrative officer,UD Wacana Maryadi,Sulawesi Utara
97339203,KH. Cahya Prasetyo,Midwife,PD Prasasta,Jawa Tengah
c9a3b084,Olivia Najmudin,Marketing executive,CV Hutapea,Kalimantan Utara
99fed386,KH. Makuta Suryatmi,"Engineer, maintenance",PT Oktaviani Hidayanto Tbk,DKI Jakarta
8c221ca4,"Jagaraga Safitri, S.E.",Scientific laboratory technician,CV Mahendra (Persero) Tbk,Bali
1d0ed0a3,"Devi Sitorus, S.T.","Lecturer, further education",Perum Prayoga (Persero) Tbk,Sulawesi Barat
10cd2645,Uli Puspasari,"Engineer, chemical",UD Najmudin Tbk,Riau
1fda9c05,Eva Habibi,Transport planner,PD Waluyo Mulyani,Sulawesi Selatan
1be26864,Tami Kusmawati,Farm manager,PD Kuswandari Narpati,DKI Jakarta
a0d7ca11,Vino Situmorang,Location manager,CV Purnawati,Kalimantan Timur
bad05859,"Salwa Winarno, M.Kom.",Electrical engineer,PT Yuliarti Haryanti,Jawa Tengah
1b9ee0ee,Sabrina Wastuti,"Lighting technician, broadcasting/film/video",UD Wastuti,Papua Barat
981ec254,"Puti Hasna Damanik, S.T.",Barista,Perum Mansur Halim Tbk,Kepulauan Riau
