ID_Karyawan,Nama_Lengkap,Profesi,Perusahaan,Provinsi
7811abc7,Darmana Widodo,Occupational psychologist,Perum Narpati,Aceh
da08f15b,Amalia Natsir,Paramedic,UD Santoso Mangunsong,Gorontalo
c779d8d3,Marsito Wibowo,Primary school teacher,UD Riyanti,Sulawesi Barat
6ec58a7d,Uda Santoso,Health service manager,PD Purwanti,Maluku Utara
5d604e94,"Cut Maya Suwarno, S.Ked",Arts development officer,PD Puspasari Kusmawati,Sumatera Selatan
caea7ec9,"Gabriella Januar, M.M.","Exhibitions officer, museum/gallery",PD Tampubolon Dongoran,Kepulauan Riau
d5229f8f,"Azalea Wahyuni, M.M.",Fitness centre manager,PD Salahudin Nuraini,Kalimantan Tengah
4ae644c0,Aurora Hariyah,"Conservation officer, historic buildings",UD Lestari Prasetya Tbk,Papua
f01fd406,Diana Ramadan,"Restaurant manager, fast food",Perum Siregar Prastuti,Papua
e80e262a,Damar Halim,Town planner,PT Waskita,Maluku Utara
0388f26e,Drs. Ida Iswahyudi,Lobbyist,Perum Nugroho Tbk,Papua Barat
349d9eee,"Ir. Jamil Purwanti, S.IP",Education administrator,CV Winarsih Rahimah Tbk,Bali
bf63229d,"Maya Sihombing, S.Kom","Scientist, forensic",PD Hutasoit Mansur Tbk,Sumatera Selatan
95ce275a,Cahyadi Saragih,Personnel officer,PT Nasyiah,Bali
d4c18745,Bancar Yulianti,Drilling engineer,UD Winarsih Yuliarti (Persero) Tbk,Bengkulu
93c6fc26,Shania Sudiati,"Scientist, research (maths)",PT Anggriawan Latupono,Kalimantan Utara
05f43a0d,Tgk. Wirda Anggriawan,Data scientist,PT Prasetya Puspasari (Persero) Tbk,Banten
f5631250,"Kamaria Adriansyah, S.H.",General practice doctor,CV Lestari,Aceh
b4f87827,Mulyanto Budiman,"Lecturer, further education",PT Wibowo Gunawan,Sulawesi Barat
83c01362,"dr. Ghaliyati Manullang, S.T.",Geographical information systems officer,PT Wastuti Rahimah (Persero) Tbk,Papua Barat
05306822,Tgk. Anita Sitorus,"Administrator, charities/voluntary organisations",CV Anggraini,Kalimantan Selatan
a89541c0,"Joko Riyanti, M.Kom.",Social researcher,Perum Mahendra Mandasari Tbk,Sulawesi Utara
eefe35e4,"Tgk. Victoria Utama, S.Pd","Designer, ceramics/pottery",UD Lazuardi (Persero) Tbk,Kalimantan Timur
e79fff2c,R.A. Talia Simbolon,Passenger transport manager,PD Utami Agustina,Jawa Tengah
4326e161,Dt. Harsaya Kuswoyo,Ranger/warden,PT Siregar Putra,Lampung
d7730059,Malika Hutagalung,Higher education careers adviser,Perum Hutasoit (Persero) Tbk,Kalimantan Timur
461cb069,"Jane Firgantoro, M.M.",Water engineer,PD Sihombing Simbolon (Persero) Tbk,DI Yogyakarta
3e059bf3,Taufik Mandala,Research scientist (physical sciences),Perum Kuswoyo Safitri,Sulawesi Tengah
888e50a3,"Rini Thamrin, S.Sos",Photographer,PD Usada Simanjuntak,DI Yogyakarta
17806366,"Harjasa Latupono, M.M.",Physiotherapist,PD Hartati Yolanda,Nusa Tenggara Barat
0fb906f8,Nasim Firmansyah,Veterinary surgeon,UD Salahudin Nuraini,Gorontalo
820b12f5,Wawan Prasetya,Proofreader,PT Laksmiwati,Sumatera Barat
a3fdd4e5,"Ina Waskita, M.M.",Art gallery manager,UD Maheswara,Kalimantan Selatan
a11c9c5d,Rahmi Najmudin,Agricultural engineer,Perum Mardhiyah Tbk,Kalimantan Timur
aa0319ec,"R. Alika Dabukke, S.E.",Herpetologist,Perum Putra Tampubolon (Persero) Tbk,Jawa Barat
1e54da9f,Edison Ramadan,"Engineer, control and instrumentation",PD Anggriawan Tbk,Kalimantan Utara
51c33381,Hilda Pertiwi,"Geneticist, molecular",PT Wacana Lazuardi,Kalimantan Utara
6911536d,Padma Budiman,"Engineer, materials",Perum Hariyah Wibisono,Sulawesi Tenggara
e70f1c1b,Kezia Handayani,English as a second language teacher,CV Prabowo Nuraini Tbk,Kepulauan Bangka Belitung
4e4391e7,Tgk. Paramita Narpati,Personnel officer,CV Santoso (Persero) Tbk,Papua
3605b91f,Cahyono Wacana,"Research officer, political party",Perum Latupono (Persero) Tbk,Banten
7fc5a2b1,Intan Maulana,"Scientist, forensic",CV Maulana Situmorang,Jawa Tengah
0d3b72cd,Jamal Rajasa,Insurance underwriter,UD Gunawan,Kalimantan Utara
a6169e93,Kamaria Manullang,Race relations officer,UD Zulaika Sirait (Persero) Tbk,DKI Jakarta
b68d5934,"Anastasia Marpaung, S.IP",Dietitian,PT Hasanah Najmudin,Jawa Tengah
2adcee39,Viktor Pratiwi,Professor Emeritus,PT Wijayanti,Bengkulu
762aeab5,Ismail Latupono,Ambulance person,PD Hariyah Padmasari (Persero) Tbk,Sumatera Selatan
fb408fbf,Banawa Sinaga,Environmental consultant,PD Hutagalung (Persero) Tbk,Jambi
84314065,"dr. Ratih Riyanti, S.Psi",Theatre stage manager,PT Anggraini (Persero) Tbk,Nusa Tenggara Timur
4d900720,Cut Humaira Zulkarnain,Geophysicist/field seismologist,PD Rahmawati,Sulawesi Barat
43bd4a61,R.M. Dodo Yuliarti,Brewing technologist,Perum Halim,Banten
25a576e9,"Wasis Kusmawati, S.I.Kom","Engineer, building services",PT Oktaviani Prasetyo (Persero) Tbk,Jambi
5ebdeb32,KH. Dimaz Novitasari,Learning disability nurse,CV Maulana,Riau
dfbf7c3d,Yuliana Hastuti,Advertising copywriter,UD Gunawan Gunawan,Bali
672a55ed,Tantri Hakim,"Designer, industrial/product",CV Wasita Sihotang Tbk,Maluku
