ID_Karyawan,Nama_Lengkap,Profesi,Perusahaan,Provinsi
d4b57505,"drg. Tami Anggriawan, S.Psi",Architect,PD Suryono,Gorontalo
61147214,"Budi Waskita, S.IP",Health physicist,Perum Halim Tbk,Bengkulu
b504a253,Janet Suryono,Water engineer,PT Anggriawan,Bali
b78e5ac3,Karen Iswahyudi,"Radiographer, diagnostic",PD Susanti,Jambi
bcb9161b,Ani Hardiansyah,"Sales professional, IT",UD Fujiati Halim,Kalimantan Tengah
549c5dd5,Kadir Nuraini,Ship broker,PT Rahimah,Aceh
7e50bb24,"Ian Utami, M.M.",Furniture designer,Perum Pudjiastuti Tbk,Sumatera Barat
e032de21,R.A. Ina Nurdiyanti,Geographical information systems officer,PD Yulianti Winarsih Tbk,Jambi
86ca33ca,Aris Sihotang,Corporate treasurer,Perum Tarihoran (Persero) Tbk,Sulawesi Selatan
2c6f7518,Kusuma Wasita,"Surveyor, hydrographic",UD Kurniawan,Kalimantan Barat
3d6ce898,Gangsar Hastuti,Conference centre manager,Perum Januar Sihombing,Kepulauan Bangka Belitung
161cc983,"drg. Dacin Sinaga, S.Kom","Surveyor, mining",CV Hutagalung Namaga,Sumatera Selatan
705e8ffe,R.M. Argono Kuswandari,Cartographer,PD Zulaika (Persero) Tbk,Kepulauan Riau
f8443fa8,Himawan Sitorus,Speech and language therapist,Perum Wibisono Latupono,Banten
17cee257,Atmaja Hariyah,Paramedic,Perum Dongoran Tbk,Kalimantan Tengah
fe5cea7e,"Ir. Icha Anggraini, M.Pd",Sport and exercise psychologist,Perum Permadi Firmansyah,Banten
749863fc,Ani Nuraini,IT technical support officer,CV Lazuardi Anggraini (Persero) Tbk,Sumatera Barat
1955eca5,Karen Yulianti,Chief Strategy Officer,UD Laksmiwati Tbk,Sulawesi Selatan
34b7d1db,Bahuwarna Uyainah,Arts development officer,PD Sihombing (Persero) Tbk,Sumatera Utara
109194b7,Mitra Lailasari,"Designer, ceramics/pottery",CV Wibowo (Persero) Tbk,Kalimantan Timur
be766214,Sakti Wibisono,"Pilot, airline",UD Permata,Papua
f6fce4a9,Saka Mulyani,Police officer,Perum Marbun Jailani,Papua
df066a10,"H. Kalim Wastuti, S.I.Kom","Pharmacist, hospital",Perum Wibowo Yuniar,Gorontalo
d8cd104c,Asmadi Wijaya,Speech and language therapist,PD Salahudin Tarihoran,Kalimantan Timur
c8537161,"Nadine Manullang, M.TI.","Geologist, engineering",UD Sitompul Marpaung,Kepulauan Bangka Belitung
8ff95d88,"Tgk. Balangga Kusmawati, M.TI.",Biomedical engineer,UD Dabukke Maryati,Kalimantan Timur
b5305e24,Elon Simanjuntak,Chief Executive Officer,PT Dabukke Melani Tbk,Aceh
75632a2e,Prima Hartati,Claims inspector/assessor,CV Sihombing Fujiati,Sulawesi Tenggara
571be395,Kayun Pratama,Careers adviser,UD Samosir Puspasari,Jawa Timur
f05b0c69,Cut Kartika Marbun,"Engineer, communications",CV Budiyanto Manullang,Banten
fff86c1c,Hasna Prasetya,"Engineer, electronics",PT Latupono Kusmawati,Jawa Tengah
09a39516,Purwadi Yolanda,Proofreader,UD Sihombing (Persero) Tbk,DI Yogyakarta
fadc41ab,Darijan Sitorus,Ophthalmologist,CV Mardhiyah Tbk,Riau
7297448b,Karja Yolanda,Field seismologist,PD Hastuti Maulana,Jawa Barat
f1b07699,Mulyanto Sinaga,Database administrator,PD Nasyidah,Nusa Tenggara Timur
9c40e6fa,dr. Safina Nasyidah,Estate agent,Perum Fujiati Astuti,Kalimantan Selatan
140ae62c,Bakiono Mansur,Retail buyer,PT Santoso Kurniawan,Maluku Utara
64133b80,Qori Uyainah,Comptroller,PT Ardianto (Persero) Tbk,Nusa Tenggara Timur
14c388a1,Ibrahim Hasanah,Dance movement psychotherapist,PD Saefullah,Sulawesi Barat
296f2f90,Lili Waluyo,Aeronautical engineer,UD Prakasa Fujiati Tbk,Jawa Tengah
da9e8044,"Uli Ardianto, S.Ked",Medical illustrator,UD Yuliarti Tbk,Jambi
add0f499,"Keisha Mayasari, M.TI.",Insurance underwriter,CV Wibowo Tbk,Sulawesi Barat
231a4363,Dariati Hutagalung,Quality manager,PD Hakim,Riau
cc28d1a5,Margana Suwarno,Insurance risk surveyor,UD Hariyah Prakasa,Bengkulu
d49dcf11,Kardi Fujiati,Arboriculturist,CV Yuniar Hasanah Tbk,Lampung
84e1b8b0,Jagaraga Maulana,"Psychologist, forensic",PT Permadi Sitompul,Jawa Tengah
33d89a2c,"Cut Kania Simanjuntak, S.I.Kom",Audiological scientist,PT Putra Mangunsong,Maluku Utara
68207b39,Martaka Prasetya,Research scientist (physical sciences),PT Hariyah (Persero) Tbk,Jawa Timur
b92046e0,Mumpuni Gunarto,Firefighter,PT Irawan Tbk,Jawa Timur
453fc1da,Dalima Putra,Fast food restaurant manager,Perum Ardianto,Gorontalo
12d75587,"Lintang Megantara, S.Gz","Pilot, airline",UD Kusumo,Kalimantan Tengah
38e711b7,Galuh Padmasari,Visual merchandiser,Perum Rahmawati Tbk,Kalimantan Barat
ed2e5f8a,"Yulia Setiawan, S.Gz",Research scientist (medical),UD Andriani (Persero) Tbk,Jawa Timur
aa5d1796,"Caraka Suryono, M.Ak","Lecturer, higher education",Perum Suwarno Kusmawati,Kalimantan Barat
39dfee71,"Kasusra Adriansyah, S.IP",Surgeon,PD Hutagalung Budiman (Persero) Tbk,Aceh
a07c20f5,Dadap Kusmawati,Company secretary,PD Wijayanti,Sulawesi Selatan
1902c78d,Tgk. Kasiyah Prayoga,Senior tax professional/tax inspector,PT Siregar Suartini (Persero) Tbk,Banten
0fd3fbc8,R. Rachel Pratama,Media buyer,UD Palastri,Jambi
8c465a31,Siska Andriani,"Therapist, occupational",UD Uwais (Persero) Tbk,Jawa Tengah
b80eb8ed,Manah Samosir,Biomedical engineer,Perum Salahudin Winarsih,Sulawesi Tengah
846cd059,"Farah Sirait, S.Ked",Public relations officer,Perum Prasetyo (Persero) Tbk,Kalimantan Timur
1a1d4267,Manah Sudiati,Advertising art director,Perum Nuraini (Persero) Tbk,Nusa Tenggara Barat
1dcdd95d,Eja Sihombing,Aeronautical engineer,PD Gunawan (Persero) Tbk,Riau
7d5ee952,Fitria Maryati,Recycling officer,CV Mansur Kuswandari,Aceh
8b2742f0,"Ir. Faizah Budiyanto, S.Sos",Furniture designer,UD Wijaya Oktaviani,Kalimantan Barat
